Formula,Type,Crystal system,Ionic conductivity (S/cm),Reference,Spacegroup,Unnamed: 6,Reference index,Source,composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,compound possible,max ionic char,avg ionic char,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons
NaZr2(PO4)3,NASICON,Trigonal,4.5e-06,"1,2,3",167.0,,1.0,10.1038/s41467-021-26006-3,Na1 Zr2 P3 O12,8.0,40.0,32.0,12.88888888888889,6.728395061728396,8.0,2.0,87.0,85.0,76.83333333333333,15.611111111111114,87.0,15.9994,91.224,75.22460000000001,27.241769737777776,15.462270812345679,15.9994,54.8,2128.0,2073.2,346.46500000000003,398.60833333333335,54.8,1.0,16.0,15.0,13.666666666666666,3.5555555555555554,16.0,2.0,5.0,3.0,2.5555555555555554,0.7407407407407407,2.0,66.0,175.0,109.0,90.5,32.666666666666664,66.0,0.93,3.44,2.51,2.8577777777777778,0.7762962962962963,3.44,1.0,2.0,1.0,1.9444444444444444,0.1049382716049383,2.0,0.0,4.0,4.0,3.1666666666666665,1.1111111111111112,4.0,0.0,2.0,2.0,0.2222222222222222,0.3950617283950617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,5.333333333333333,0.8888888888888888,6.0,0.0,1.0,1.0,0.05555555555555555,0.10493827160493827,0.0,0.0,3.0,3.0,1.8333333333333333,0.6111111111111112,2.0,0.0,8.0,8.0,0.8888888888888888,1.5802469135802468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,2.7777777777777777,1.2345679012345678,2.0,9.105,29.2433333333,20.1383333333,14.033558201049999,6.571410934733333,9.105,0.0,1.625,1.625,0.2708333333333333,0.4513888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,229.0,227.0,42.611111111111114,54.351851851851855,12.0,4,0.6983225049986963,0.6712645131089193,0.6668144920416061,0.666672822239916,0.6666667313485476,True,0.792997622442975,0.12143740961286022,0.36458333333333337,0.59375,0.041666666666666664,0.0
NaGe2(PO4)3,NASICON,Trigonal,1.1e-12,"1,2,3",148.0,,2.0,10.1088/2399-6528/ab92d8,Na1 Ge2 P3 O12,8.0,32.0,24.0,12.0,5.444444444444445,8.0,2.0,87.0,85.0,80.72222222222223,9.129629629629626,87.0,15.9994,72.64,56.6406,25.17688084888889,12.479653528395062,15.9994,54.8,1211.4,1156.6000000000001,244.62055555555557,253.09407407407414,54.8,1.0,16.0,15.0,14.777777777777779,1.7037037037037033,16.0,2.0,4.0,2.0,2.4444444444444446,0.5925925925925927,2.0,66.0,166.0,100.0,84.38888888888889,24.51851851851852,66.0,0.93,3.44,2.51,2.933333333333333,0.6755555555555556,3.44,1.0,2.0,1.0,1.9444444444444444,0.1049382716049383,2.0,0.0,4.0,4.0,3.388888888888889,0.8148148148148148,4.0,0.0,10.0,10.0,1.1111111111111112,1.9753086419753088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,13.0,6.444444444444445,1.6790123456790127,6.0,0.0,1.0,1.0,0.05555555555555555,0.10493827160493827,0.0,0.0,4.0,4.0,2.2777777777777777,0.6234567901234568,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.3333333333333335,0.5925925925925927,2.0,9.105,29.2433333333,20.1383333333,14.012447089938888,6.543262786585185,9.105,0.0,1.625,1.625,0.3133888888888889,0.45267283950617276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,229.0,227.0,46.05555555555556,60.092592592592595,12.0,4,0.6983225049986963,0.6712645131089193,0.6668144920416061,0.666672822239916,0.6666667313485476,True,0.792997622442975,0.09969125982687446,0.3017241379310345,0.5258620689655172,0.1724137931034483,0.0
NaTi2(PO4)3,NASICON,Trigonal,4.43e-10,"1,2,3",167.0,,3.0,10.1016/j.jpowsour.2014.09.137,Na1 Ti2 P3 O12,8.0,22.0,14.0,10.88888888888889,3.8518518518518525,8.0,2.0,87.0,85.0,76.72222222222223,15.796296296296292,87.0,15.9994,47.867,31.867599999999996,22.424325293333332,8.566567057777778,15.9994,54.8,1941.0,1886.2,325.68722222222226,363.97870370370373,54.8,1.0,16.0,15.0,13.666666666666666,3.5555555555555554,16.0,2.0,4.0,2.0,2.4444444444444446,0.5925925925925927,2.0,66.0,166.0,100.0,88.83333333333333,30.444444444444443,66.0,0.93,3.44,2.51,2.881111111111111,0.7451851851851852,3.44,1.0,2.0,1.0,1.9444444444444444,0.1049382716049383,2.0,0.0,4.0,4.0,3.1666666666666665,1.1111111111111112,4.0,0.0,2.0,2.0,0.2222222222222222,0.3950617283950617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,5.333333333333333,0.8888888888888888,6.0,0.0,1.0,1.0,0.05555555555555555,0.10493827160493827,0.0,0.0,3.0,3.0,1.8333333333333333,0.6111111111111112,2.0,0.0,8.0,8.0,0.8888888888888888,1.5802469135802468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,2.7777777777777777,1.2345679012345678,2.0,9.105,29.2433333333,20.1383333333,13.310780423272222,5.60770723102963,9.105,0.0,1.625,1.625,0.2708333333333333,0.4513888888888889,0.0,0.0,2.25333333333e-05,2.25333333333e-05,2.5037037037e-06,4.451028806577778e-06,0.0,2.0,229.0,227.0,42.611111111111114,54.351851851851855,12.0,4,0.6983225049986963,0.6712645131089193,0.6668144920416061,0.666672822239916,0.6666667313485476,True,0.792997622442975,0.11477076445645085,0.36458333333333337,0.59375,0.041666666666666664,0.0
NaHf2(PO4)3,NASICON,Trigonal,8.77e-10,"1,2,3",167.0,,4.0,10.1016/0167-2738(93)90179-7,Na1 Hf2 P3 O12,8.0,72.0,64.0,16.444444444444443,12.345679012345677,8.0,2.0,87.0,85.0,76.94444444444444,15.425925925925927,87.0,15.9994,178.49,162.4906,36.937991960000005,31.456001786666675,15.9994,54.8,2506.0,2451.2,388.46500000000003,470.5633333333333,54.8,1.0,16.0,15.0,13.666666666666666,3.5555555555555554,16.0,2.0,6.0,4.0,2.6666666666666665,0.8888888888888888,2.0,66.0,175.0,109.0,90.5,32.666666666666664,66.0,0.93,3.44,2.51,2.854444444444445,0.7807407407407406,3.44,1.0,2.0,1.0,1.9444444444444444,0.1049382716049383,2.0,0.0,4.0,4.0,3.1666666666666665,1.1111111111111112,4.0,0.0,2.0,2.0,0.2222222222222222,0.3950617283950617,0.0,0.0,14.0,14.0,1.5555555555555556,2.7654320987654324,0.0,1.0,18.0,17.0,6.888888888888889,2.469135802469136,6.0,0.0,1.0,1.0,0.05555555555555555,0.10493827160493827,0.0,0.0,3.0,3.0,1.8333333333333333,0.6111111111111112,2.0,0.0,8.0,8.0,0.8888888888888888,1.5802469135802468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,2.7777777777777777,1.2345679012345678,2.0,9.105,29.2433333333,20.1383333333,13.923002645494446,6.424003527325926,9.105,0.0,1.625,1.625,0.2708333333333333,0.4513888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,229.0,227.0,42.611111111111114,54.351851851851855,12.0,4,0.6983225049986963,0.6712645131089193,0.6668144920416061,0.666672822239916,0.6666667313485476,True,0.792997622442975,0.12236730633280066,0.282258064516129,0.45967741935483863,0.03225806451612903,0.22580645161290322
NaSn2(PO4)3,NASICON,Trigonal,4.65e-09,"1,2,3",148.0,,5.0,10.1016/0025-5408(92)90148-S,Na1 Sn2 P3 O12,8.0,50.0,42.0,14.0,8.333333333333334,8.0,2.0,87.0,85.0,80.83333333333333,8.944444444444448,87.0,15.9994,118.71,102.7106,30.295769737777775,19.87360414567901,15.9994,54.8,505.08,450.28,166.14055555555558,148.4540740740741,54.8,1.0,16.0,15.0,14.777777777777779,1.7037037037037033,16.0,2.0,5.0,3.0,2.5555555555555554,0.7407407407407407,2.0,66.0,166.0,100.0,86.5,27.333333333333332,66.0,0.93,3.44,2.51,2.927777777777778,0.6829629629629629,3.44,1.0,2.0,1.0,1.9444444444444444,0.1049382716049383,2.0,0.0,4.0,4.0,3.388888888888889,0.8148148148148148,4.0,0.0,10.0,10.0,1.1111111111111112,1.9753086419753088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,13.0,6.444444444444445,1.6790123456790127,6.0,0.0,1.0,1.0,0.05555555555555555,0.10493827160493827,0.0,0.0,4.0,4.0,2.2777777777777777,0.6234567901234568,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.3333333333333335,0.5925925925925927,2.0,9.105,33.285,24.179999999999996,15.154669312161111,8.066225749548147,9.105,0.0,1.625,1.625,0.2708333333333333,0.4513888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,229.0,227.0,36.72222222222222,44.53703703703704,12.0,4,0.6983225049986963,0.6712645131089193,0.6668144920416061,0.666672822239916,0.6666667313485476,True,0.792997622442975,0.10124889647792307,0.3017241379310345,0.5258620689655172,0.1724137931034483,0.0
NaGe0.5Ti1.5(PO4)3,NASICON,Trigonal,5.91e-13,"1,2,3,4",167.0,,6.0,10.1016/0167-2738(93)90180-B,Na1 Ge0.5 Ti1.5 P3 O12,8.0,32.0,24.0,11.166666666666666,4.2407407407407405,8.0,2.0,87.0,85.0,77.72222222222223,14.200617283950614,87.0,15.9994,72.64,56.6406,23.112464182222222,9.497718343209876,15.9994,54.8,1941.0,1886.2,305.42055555555555,334.1607407407407,54.8,1.0,16.0,15.0,13.944444444444445,3.0956790123456788,16.0,2.0,4.0,2.0,2.4444444444444446,0.5925925925925927,2.0,66.0,166.0,100.0,87.72222222222223,28.962962962962965,66.0,0.93,3.44,2.51,2.8941666666666666,0.7277777777777779,3.44,1.0,2.0,1.0,1.9444444444444444,0.1049382716049383,2.0,0.0,4.0,4.0,3.2222222222222223,1.0370370370370372,4.0,0.0,10.0,10.0,0.4444444444444444,0.7901234567901234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,13.0,5.611111111111111,0.984567901234568,6.0,0.0,1.0,1.0,0.05555555555555555,0.10493827160493827,0.0,0.0,4.0,4.0,1.9444444444444444,0.5401234567901236,2.0,0.0,8.0,8.0,0.6666666666666666,1.2222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,2.6666666666666665,1.0740740740740737,2.0,9.105,29.2433333333,20.1383333333,13.48619708993889,5.841596119918519,9.105,0.0,1.625,1.625,0.2814722222222222,0.453483024691358,0.0,0.0,2.25333333333e-05,2.25333333333e-05,1.877777777775e-06,3.4425925925874996e-06,0.0,2.0,229.0,227.0,43.47222222222222,55.78703703703703,12.0,5,0.6949997779553779,0.6706932238856149,0.6668014420878181,0.6666725274758655,0.666666730308093,True,0.792997622442975,0.11112525817694725,0.34653465346534656,0.5742574257425743,0.07920792079207921,0.0
NaGeTi(PO4)3,NASICON,Trigonal,8.5e-12,"1,2,3,4",148.0,,7.0,10.1006/jssc.1995.1032,Na1 Ge1 Ti1 P3 O12,8.0,32.0,24.0,11.444444444444445,4.6419753086419755,8.0,2.0,87.0,85.0,78.72222222222223,12.493827160493822,87.0,15.9994,72.64,56.6406,23.80060307111111,10.491696738271603,15.9994,54.8,1941.0,1886.2,285.1538888888889,307.13851851851854,54.8,1.0,16.0,15.0,14.222222222222221,2.62962962962963,16.0,2.0,4.0,2.0,2.4444444444444446,0.5925925925925927,2.0,66.0,166.0,100.0,86.61111111111111,27.48148148148148,66.0,0.93,3.44,2.51,2.907222222222222,0.7103703703703704,3.44,1.0,2.0,1.0,1.9444444444444444,0.1049382716049383,2.0,0.0,4.0,4.0,3.2777777777777777,0.9629629629629631,4.0,0.0,10.0,10.0,0.6666666666666666,1.1851851851851853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,13.0,5.888888888888889,1.0493827160493825,6.0,0.0,1.0,1.0,0.05555555555555555,0.10493827160493827,0.0,0.0,4.0,4.0,2.0555555555555554,0.5308641975308641,2.0,0.0,8.0,8.0,0.4444444444444444,0.8395061728395061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,2.5555555555555554,0.9135802469135802,2.0,9.105,29.2433333333,20.1383333333,13.661613756605554,6.075485008807407,9.105,0.0,1.625,1.625,0.2921111111111111,0.454395061728395,0.0,0.0,2.25333333333e-05,2.25333333333e-05,1.25185185185e-06,2.3646090534944444e-06,0.0,2.0,229.0,227.0,44.333333333333336,57.22222222222222,12.0,5,0.693888666488711,0.6705025777059621,0.6667984304149365,0.6666724873599875,0.6666667302481573,True,0.792997622442975,0.10739683864551666,0.330188679245283,0.5566037735849056,0.11320754716981131,0.0
NaGe1.5Ti0.5(PO4)3,NASICON,Trigonal,3.13e-11,"1,2,3,4",148.0,,8.0,10.1016/0167-2738(84)90002-X,Na1 Ge1.5 Ti0.5 P3 O12,8.0,32.0,24.0,11.722222222222221,5.04320987654321,8.0,2.0,87.0,85.0,79.72222222222223,10.796296296296292,87.0,15.9994,72.64,56.6406,24.488741960000002,11.485675133333334,15.9994,54.8,1941.0,1886.2,264.8872222222223,280.11629629629635,54.8,1.0,16.0,15.0,14.5,2.1666666666666665,16.0,2.0,4.0,2.0,2.4444444444444446,0.5925925925925927,2.0,66.0,166.0,100.0,85.5,26.0,66.0,0.93,3.44,2.51,2.9202777777777778,0.6929629629629629,3.44,1.0,2.0,1.0,1.9444444444444444,0.10493827160493828,2.0,0.0,4.0,4.0,3.3333333333333335,0.8888888888888888,4.0,0.0,10.0,10.0,0.8888888888888888,1.5802469135802468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,13.0,6.166666666666667,1.3055555555555558,6.0,0.0,1.0,1.0,0.05555555555555555,0.10493827160493827,0.0,0.0,4.0,4.0,2.1666666666666665,0.5833333333333333,2.0,0.0,8.0,8.0,0.2222222222222222,0.4320987654320988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,2.4444444444444446,0.7530864197530865,2.0,9.105,29.2433333333,20.1383333333,13.837030423272223,6.309373897696296,9.105,0.0,1.625,1.625,0.30275,0.45412500000000006,0.0,0.0,2.25333333333e-05,2.25333333333e-05,6.25925925925e-07,1.217078189298611e-06,0.0,2.0,229.0,227.0,45.19444444444444,58.657407407407405,12.0,5,0.6949997779553779,0.6706932238856149,0.6668014420878181,0.6666725274758655,0.666666730308093,True,0.792997622442975,0.10358550586215905,0.3153153153153153,0.5405405405405406,0.14414414414414414,0.0
NaSn0.5Ti1.5(PO4)3,NASICON,Trigonal,1.77e-11,"1,2,3,5",167.0,,9.0,10.1016/S0167-2738(88)80080-8,Na1 Sn0.5 Ti1.5 P3 O12,8.0,50.0,42.0,11.666666666666666,4.962962962962963,8.0,2.0,87.0,85.0,77.75,14.208333333333334,87.0,15.9994,118.71,102.7106,24.392186404444445,11.346205997530864,15.9994,54.8,1941.0,1886.2,285.80055555555555,308.0007407407407,54.8,1.0,16.0,15.0,13.944444444444445,3.0956790123456788,16.0,2.0,5.0,3.0,2.4722222222222223,0.6296296296296297,2.0,66.0,166.0,100.0,88.25,29.666666666666668,66.0,0.93,3.44,2.51,2.892777777777778,0.7296296296296296,3.44,1.0,2.0,1.0,1.9444444444444444,0.1049382716049383,2.0,0.0,4.0,4.0,3.2222222222222223,1.0370370370370372,4.0,0.0,10.0,10.0,0.4444444444444444,0.7901234567901234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,13.0,5.611111111111111,0.984567901234568,6.0,0.0,1.0,1.0,0.05555555555555555,0.10493827160493827,0.0,0.0,4.0,4.0,1.9444444444444444,0.5401234567901236,2.0,0.0,8.0,8.0,0.6666666666666666,1.2222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,2.6666666666666665,1.0740740740740737,2.0,9.105,33.285,24.179999999999996,13.771752645494445,6.222336860659259,9.105,0.0,1.625,1.625,0.2708333333333333,0.4513888888888889,0.0,0.0,2.25333333333e-05,2.25333333333e-05,1.877777777775e-06,3.4425925925874996e-06,0.0,2.0,229.0,227.0,41.138888888888886,51.898148148148145,12.0,5,0.6949997779553779,0.6706932238856149,0.6668014420878181,0.6666725274758655,0.666666730308093,True,0.792997622442975,0.11149016258482375,0.34653465346534656,0.5742574257425743,0.07920792079207921,0.0
NaSnTi(PO4)3,NASICON,Trigonal,6.86e-11,"1,2,3,5",167.0,,10.0,10.1016/0167-2738(81)90084-9,Na1 Sn1 Ti1 P3 O12,8.0,50.0,42.0,12.444444444444445,6.08641975308642,8.0,2.0,87.0,85.0,78.77777777777777,12.506172839506178,87.0,15.9994,118.71,102.7106,26.360047515555557,14.188672046913581,15.9994,54.8,1941.0,1886.2,245.9138888888889,254.81851851851854,54.8,1.0,16.0,15.0,14.222222222222221,2.62962962962963,16.0,2.0,5.0,3.0,2.5,0.6666666666666666,2.0,66.0,166.0,100.0,87.66666666666667,28.88888888888889,66.0,0.93,3.44,2.51,2.9044444444444446,0.714074074074074,3.44,1.0,2.0,1.0,1.9444444444444444,0.1049382716049383,2.0,0.0,4.0,4.0,3.2777777777777777,0.9629629629629631,4.0,0.0,10.0,10.0,0.6666666666666666,1.1851851851851853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,13.0,5.888888888888889,1.0493827160493825,6.0,0.0,1.0,1.0,0.05555555555555555,0.10493827160493827,0.0,0.0,4.0,4.0,2.0555555555555554,0.5308641975308641,2.0,0.0,8.0,8.0,0.4444444444444444,0.8395061728395061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,2.5555555555555554,0.9135802469135802,2.0,9.105,33.285,24.179999999999996,14.232724867716668,6.836966490288889,9.105,0.0,1.625,1.625,0.2708333333333333,0.4513888888888889,0.0,0.0,2.25333333333e-05,2.25333333333e-05,1.25185185185e-06,2.3646090534944444e-06,0.0,2.0,229.0,227.0,39.666666666666664,49.44444444444444,12.0,5,0.693888666488711,0.6705025777059621,0.6667984304149365,0.6666724873599875,0.6666667302481573,True,0.792997622442975,0.10814298396452673,0.330188679245283,0.5566037735849056,0.11320754716981131,0.0
NaSn1.5Ti0.5(PO4)3,NASICON,Trigonal,5.14e-10,"1,2,3,5",148.0,,11.0,10.1016/j.nanoen.2019.103941,Na1 Sn1.5 Ti0.5 P3 O12,8.0,50.0,42.0,13.222222222222221,7.209876543209877,8.0,2.0,87.0,85.0,79.80555555555556,10.689814814814813,87.0,15.9994,118.71,102.7106,28.327908626666666,17.031138096296296,15.9994,54.8,1941.0,1886.2,206.0272222222222,201.6362962962963,54.8,1.0,16.0,15.0,14.5,2.1666666666666665,16.0,2.0,5.0,3.0,2.5277777777777777,0.7037037037037036,2.0,66.0,166.0,100.0,87.08333333333333,28.11111111111111,66.0,0.93,3.44,2.51,2.9161111111111113,0.6985185185185184,3.44,1.0,2.0,1.0,1.9444444444444444,0.10493827160493828,2.0,0.0,4.0,4.0,3.3333333333333335,0.8888888888888888,4.0,0.0,10.0,10.0,0.8888888888888888,1.5802469135802468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,13.0,6.166666666666667,1.3055555555555558,6.0,0.0,1.0,1.0,0.05555555555555555,0.10493827160493827,0.0,0.0,4.0,4.0,2.1666666666666665,0.5833333333333333,2.0,0.0,8.0,8.0,0.2222222222222222,0.4320987654320988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,2.4444444444444446,0.7530864197530865,2.0,9.105,33.285,24.179999999999996,14.693697089938887,7.451596119918516,9.105,0.0,1.625,1.625,0.2708333333333333,0.4513888888888889,0.0,0.0,2.25333333333e-05,2.25333333333e-05,6.25925925925e-07,1.217078189298611e-06,0.0,2.0,229.0,227.0,38.19444444444444,46.99074074074073,12.0,5,0.6949997779553779,0.6706932238856149,0.6668014420878181,0.6666725274758655,0.666666730308093,True,0.792997622442975,0.10472922859555985,0.3153153153153153,0.5405405405405406,0.14414414414414414,0.0
NaSnZr(PO4)3,NASICON,Trigonal,2.47e-10,"1,2,3,6",167.0,,12.0,10.1016/j.ssi.2005.04.009,Na1 Sn1 Zr1 P3 O12,8.0,50.0,42.0,13.444444444444445,7.530864197530865,8.0,2.0,87.0,85.0,78.83333333333333,12.407407407407412,87.0,15.9994,118.71,102.7106,28.768769737777777,17.66793747901234,15.9994,54.8,2128.0,2073.2,256.30277777777775,268.6703703703704,54.8,1.0,16.0,15.0,14.222222222222221,2.62962962962963,16.0,2.0,5.0,3.0,2.5555555555555554,0.7407407407407407,2.0,66.0,175.0,109.0,88.5,30.0,66.0,0.93,3.44,2.51,2.892777777777778,0.7296296296296296,3.44,1.0,2.0,1.0,1.9444444444444444,0.1049382716049383,2.0,0.0,4.0,4.0,3.2777777777777777,0.9629629629629631,4.0,0.0,10.0,10.0,0.6666666666666666,1.1851851851851853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,13.0,5.888888888888889,1.0493827160493825,6.0,0.0,1.0,1.0,0.05555555555555555,0.10493827160493827,0.0,0.0,4.0,4.0,2.0555555555555554,0.5308641975308641,2.0,0.0,8.0,8.0,0.4444444444444444,0.8395061728395061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,2.5555555555555554,0.9135802469135802,2.0,9.105,33.285,24.179999999999996,14.594113756605557,7.318818342140741,9.105,0.0,1.625,1.625,0.2708333333333333,0.4513888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,229.0,227.0,39.666666666666664,49.44444444444444,12.0,5,0.693888666488711,0.6705025777059621,0.6667984304149365,0.6666724873599875,0.6666667302481573,True,0.792997622442975,0.11163469953045604,0.330188679245283,0.5566037735849056,0.11320754716981131,0.0
NaNbZr(PO4)3,NASICON,Trigonal,2.49e-08,"1,2,3,7",167.0,,13.0,10.1016/0022-4596(85)90109-4,Na1 Nb1 Zr1 P3 O12,8.0,41.0,33.0,12.944444444444445,6.8086419753086425,8.0,2.0,87.0,85.0,77.0,15.333333333333334,87.0,15.9994,92.90638,76.90698,27.335235293333334,15.597276614814815,15.9994,54.8,2750.0,2695.2,381.0205555555556,457.3287654320987,54.8,1.0,16.0,15.0,13.722222222222221,3.4629629629629637,16.0,2.0,5.0,3.0,2.5555555555555554,0.7407407407407407,2.0,66.0,175.0,109.0,89.88888888888889,31.851851851851848,66.0,0.93,3.44,2.51,2.872777777777778,0.7562962962962962,3.44,1.0,2.0,1.0,1.8888888888888888,0.1975308641975309,2.0,0.0,4.0,4.0,3.1666666666666665,1.1111111111111112,4.0,0.0,4.0,4.0,0.3333333333333333,0.5925925925925927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,5.388888888888889,0.8148148148148147,6.0,0.0,1.0,1.0,0.1111111111111111,0.19753086419753085,0.0,0.0,3.0,3.0,1.8333333333333333,0.6111111111111112,2.0,0.0,8.0,8.0,0.7777777777777778,1.382716049382716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,2.7222222222222223,1.154320987654321,2.0,9.105,29.2433333333,20.1383333333,13.754947089938888,6.199929453251851,9.105,0.0,1.625,1.625,0.2708333333333333,0.4513888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,229.0,227.0,44.55555555555556,57.592592592592595,12.0,5,0.693888666488711,0.6705025777059621,0.6667984304149365,0.6666724873599875,0.6666667302481573,False,0.792997622442975,0.1171901618986195,0.35051546391752575,0.5876288659793814,0.06185567010309278,0.0
